"x";"y";"t"
16;13;"2014-01-01 06:44:30"
16;9;"2014-01-01 06:44:30"
55;9;"2014-01-01 06:44:30"
55;40;"2014-01-01 06:44:30"
55;18;"2014-01-01 06:44:30"
55;21;"2014-01-01 06:44:30"
55;23;"2014-01-01 06:44:30"
56;26;"2014-01-01 06:44:30"
56;55;"2014-01-01 06:44:30"
56;14;"2014-01-01 06:44:30"
26;21;"2014-01-01 06:44:31"
26;27;"2014-01-01 06:44:32"
26;12;"2014-01-01 06:44:32"
26;18;"2014-01-01 06:44:32"
26;123;"2014-01-01 06:44:32"
26;4;"2014-01-01 06:44:32"
26;13;"2014-01-01 06:44:32"
56;7;"2014-01-01 06:44:32"
56;20;"2014-01-01 06:44:32"
56;16;"2014-01-01 06:44:32"
56;19;"2014-01-01 06:44:32"
55;56;"2014-01-01 06:44:33"
55;19;"2014-01-01 06:44:33"
55;16;"2014-01-01 06:44:33"
35;23;"2014-01-01 06:44:39"
45;4;"2014-01-01 06:44:44"
45;6;"2014-01-01 06:44:44"
21;14;"2014-01-01 06:44:44"
21;9;"2014-01-01 06:44:44"
21;7;"2014-01-01 06:44:44"
21;40;"2014-01-01 06:44:44"
20;13;"2014-01-01 06:44:47"
25;11;"2014-01-01 06:44:49"
20;18;"2014-01-01 06:44:53"
20;6;"2014-01-01 06:44:53"
20;27;"2014-01-01 06:44:53"
61;14;"2014-01-01 06:44:59"
22;23;"2014-01-01 06:45:04"
22;27;"2014-01-01 06:45:04"
22;40;"2014-01-01 06:45:04"
22;16;"2014-01-01 06:45:04"
61;23;"2014-01-01 06:45:05"
12;19;"2014-01-01 06:45:14"
12;20;"2014-01-01 06:45:14"
12;16;"2014-01-01 06:45:14"
6;7;"2014-01-01 06:45:16"
6;19;"2014-01-01 06:45:16"
6;55;"2014-01-01 06:45:16"
40;56;"2014-01-01 06:45:16"
40;22;"2014-01-01 06:45:16"
18;6;"2014-01-01 06:45:19"
18;45;"2014-01-01 06:45:19"
18;8;"2014-01-01 06:45:19"
40;35;"2014-01-01 06:45:19"
40;20;"2014-01-01 06:45:19"
40;2;"2014-01-01 06:45:19"
23;22;"2014-01-01 06:45:20"
23;35;"2014-01-01 06:45:20"
23;20;"2014-01-01 06:45:20"
23;6;"2014-01-01 06:45:20"
23;27;"2014-01-01 06:45:22"
23;7;"2014-01-01 06:45:22"
23;123;"2014-01-01 06:45:24"
23;2;"2014-01-01 06:45:24"
23;56;"2014-01-01 06:45:24"
13;55;"2014-01-01 06:45:38"
13;6;"2014-01-01 06:45:38"
13;16;"2014-01-01 06:45:42"
13;56;"2014-01-01 06:45:42"
13;40;"2014-01-01 06:45:42"
13;19;"2014-01-01 06:45:42"
4;19;"2014-01-01 06:45:49"
4;40;"2014-01-01 06:45:49"
4;6;"2014-01-01 06:45:49"
4;23;"2014-01-01 06:45:49"
4;55;"2014-01-01 06:45:49"
2;26;"2014-01-01 06:45:50"
2;19;"2014-01-01 06:45:50"
2;55;"2014-01-01 06:45:50"
2;23;"2014-01-01 06:45:50"
2;56;"2014-01-01 06:45:51"
2;61;"2014-01-01 06:45:52"
2;40;"2014-01-01 06:45:52"
2;14;"2014-01-01 06:45:52"
2;21;"2014-01-01 06:45:52"
2;9;"2014-01-01 06:45:52"
14;4;"2014-01-01 06:45:54"
14;55;"2014-01-01 06:45:54"
2;6;"2014-01-01 06:45:54"
14;7;"2014-01-01 06:45:56"
14;6;"2014-01-01 06:45:56"
14;9;"2014-01-01 06:45:56"
14;23;"2014-01-01 06:45:56"
9;27;"2014-01-01 06:45:56"
9;23;"2014-01-01 06:45:56"
9;22;"2014-01-01 06:45:56"
9;2;"2014-01-01 06:45:56"
9;12;"2014-01-01 06:45:56"
19;13;"2014-01-01 06:46:14"
19;22;"2014-01-01 06:46:14"
19;9;"2014-01-01 06:46:14"
26;19;"2014-01-01 06:46:21"
26;55;"2014-01-01 06:46:21"
26;9;"2014-01-01 06:46:21"
26;16;"2014-01-01 06:46:21"
26;40;"2014-01-01 06:46:21"
16;22;"2014-01-01 06:46:22"
16;14;"2014-01-01 06:46:22"
16;12;"2014-01-01 06:46:22"
55;35;"2014-01-01 06:46:29"
55;7;"2014-01-01 06:46:29"
55;26;"2014-01-01 06:46:29"
55;40;"2014-01-01 06:46:30"
55;4;"2014-01-01 06:46:30"
55;14;"2014-01-01 06:46:30"
35;27;"2014-01-01 06:46:31"
35;45;"2014-01-01 06:46:31"
35;22;"2014-01-01 06:46:31"
56;2;"2014-01-01 06:46:31"
48;5;"2014-01-01 06:46:33"
55;9;"2014-01-01 06:46:33"
55;56;"2014-01-01 06:46:33"
45;23;"2014-01-01 06:46:36"
45;27;"2014-01-01 06:46:36"
45;14;"2014-01-01 06:46:36"
45;13;"2014-01-01 06:46:36"
45;26;"2014-01-01 06:46:36"
48;8;"2014-01-01 06:46:40"
21;13;"2014-01-01 06:46:40"
21;20;"2014-01-01 06:46:40"
21;18;"2014-01-01 06:46:40"
21;55;"2014-01-01 06:46:40"
24;11;"2014-01-01 06:46:43"
25;24;"2014-01-01 06:46:46"
20;16;"2014-01-01 06:46:49"
20;8;"2014-01-01 06:46:49"
20;9;"2014-01-01 06:46:49"
20;19;"2014-01-01 06:46:49"
20;55;"2014-01-01 06:46:49"
5;48;"2014-01-01 06:46:51"
5;1;"2014-01-01 06:46:51"
15;203;"2014-01-01 06:46:57"
22;21;"2014-01-01 06:47:01"
22;8;"2014-01-01 06:47:01"
61;2;"2014-01-01 06:47:09"
61;55;"2014-01-01 06:47:09"
61;12;"2014-01-01 06:47:09"
18;26;"2014-01-01 06:47:11"
18;13;"2014-01-01 06:47:11"
18;55;"2014-01-01 06:47:11"
23;19;"2014-01-01 06:47:14"
23;26;"2014-01-01 06:47:14"
23;55;"2014-01-01 06:47:14"
6;20;"2014-01-01 06:47:16"
6;2;"2014-01-01 06:47:16"
6;40;"2014-01-01 06:47:16"
23;21;"2014-01-01 06:47:18"
23;16;"2014-01-01 06:47:18"
23;40;"2014-01-01 06:47:18"
23;14;"2014-01-01 06:47:18"
23;13;"2014-01-01 06:47:18"
23;22;"2014-01-01 06:47:18"
40;26;"2014-01-01 06:47:24"
40;55;"2014-01-01 06:47:24"
40;13;"2014-01-01 06:47:24"
7;4;"2014-01-01 06:47:32"
7;35;"2014-01-01 06:47:32"
7;14;"2014-01-01 06:47:32"
7;2;"2014-01-01 06:47:32"
7;55;"2014-01-01 06:47:32"
4;13;"2014-01-01 06:47:38"
4;2;"2014-01-01 06:47:38"
13;7;"2014-01-01 06:47:41"
13;20;"2014-01-01 06:47:41"
13;21;"2014-01-01 06:47:41"
4;14;"2014-01-01 06:47:42"
4;9;"2014-01-01 06:47:42"
13;26;"2014-01-01 06:47:43"
13;4;"2014-01-01 06:47:43"
2;4;"2014-01-01 06:47:43"
2;26;"2014-01-01 06:47:43"
2;20;"2014-01-01 06:47:43"
2;7;"2014-01-01 06:47:43"
14;21;"2014-01-01 06:47:50"
9;6;"2014-01-01 06:47:56"
19;20;"2014-01-01 06:48:09"
19;4;"2014-01-01 06:48:09"
19;26;"2014-01-01 06:48:09"
19;55;"2014-01-01 06:48:09"
19;16;"2014-01-01 06:48:14"
19;21;"2014-01-01 06:48:14"
19;14;"2014-01-01 06:48:14"
19;40;"2014-01-01 06:48:14"
19;2;"2014-01-01 06:48:14"
16;2;"2014-01-01 06:48:17"
16;40;"2014-01-01 06:48:17"
16;19;"2014-01-01 06:48:20"
16;26;"2014-01-01 06:48:20"
16;35;"2014-01-01 06:48:20"
16;23;"2014-01-01 06:48:20"
16;56;"2014-01-01 06:48:20"
16;55;"2014-01-01 06:48:20"
56;21;"2014-01-01 06:48:20"
56;35;"2014-01-01 06:48:20"
56;22;"2014-01-01 06:48:20"
56;14;"2014-01-01 06:48:20"
56;55;"2014-01-01 06:48:20"
26;61;"2014-01-01 06:48:21"
26;20;"2014-01-01 06:48:21"
26;6;"2014-01-01 06:48:21"
55;19;"2014-01-01 06:48:23"
55;20;"2014-01-01 06:48:23"
35;13;"2014-01-01 06:48:26"
35;4;"2014-01-01 06:48:26"
35;2;"2014-01-01 06:48:26"
35;16;"2014-01-01 06:48:26"
55;2;"2014-01-01 06:48:26"
55;22;"2014-01-01 06:48:26"
55;61;"2014-01-01 06:48:26"
35;9;"2014-01-01 06:48:30"
35;55;"2014-01-01 06:48:30"
45;21;"2014-01-01 06:48:31"
45;35;"2014-01-01 06:48:31"
45;55;"2014-01-01 06:48:33"
45;9;"2014-01-01 06:48:33"
20;14;"2014-01-01 06:48:43"
20;22;"2014-01-01 06:48:43"
20;26;"2014-01-01 06:48:43"
21;45;"2014-01-01 06:48:44"
21;22;"2014-01-01 06:48:44"
21;26;"2014-01-01 06:48:44"
48;25;"2014-01-01 06:48:45"
22;13;"2014-01-01 06:48:50"
22;18;"2014-01-01 06:48:50"
22;19;"2014-01-01 06:48:50"
22;55;"2014-01-01 06:48:50"
8;1;"2014-01-01 06:49:01"
61;26;"2014-01-01 06:49:03"
6;13;"2014-01-01 06:49:06"
6;21;"2014-01-01 06:49:06"
6;16;"2014-01-01 06:49:06"
6;35;"2014-01-01 06:49:06"
6;23;"2014-01-01 06:49:06"
40;7;"2014-01-01 06:49:16"
40;23;"2014-01-01 06:49:18"
18;23;"2014-01-01 06:49:21"
18;6;"2014-01-01 06:49:21"
18;19;"2014-01-01 06:49:21"
40;18;"2014-01-01 06:49:21"
40;9;"2014-01-01 06:49:21"
40;6;"2014-01-01 06:49:21"
23;18;"2014-01-01 06:49:22"
13;2;"2014-01-01 06:49:38"
13;23;"2014-01-01 06:49:38"
13;55;"2014-01-01 06:49:38"
7;6;"2014-01-01 06:49:39"
7;26;"2014-01-01 06:49:39"
7;19;"2014-01-01 06:49:39"
7;23;"2014-01-01 06:49:39"
2;16;"2014-01-01 06:49:43"
2;56;"2014-01-01 06:49:43"
4;7;"2014-01-01 06:49:45"
14;13;"2014-01-01 06:49:50"
14;16;"2014-01-01 06:49:50"
9;18;"2014-01-01 06:49:53"
9;13;"2014-01-01 06:49:53"
9;16;"2014-01-01 06:49:53"
9;22;"2014-01-01 06:49:56"
9;14;"2014-01-01 06:49:56"
9;45;"2014-01-01 06:49:56"
9;26;"2014-01-01 06:49:56"
9;55;"2014-01-01 06:49:56"
9;19;"2014-01-01 06:49:56"
9;23;"2014-01-01 06:49:57"
19;56;"2014-01-01 06:50:04"
19;13;"2014-01-01 06:50:04"
16;22;"2014-01-01 06:50:10"
16;14;"2014-01-01 06:50:10"
26;8;"2014-01-01 06:50:11"
26;5;"2014-01-01 06:50:11"
56;6;"2014-01-01 06:50:17"
56;23;"2014-01-01 06:50:17"
35;7;"2014-01-01 06:50:20"
35;14;"2014-01-01 06:50:20"
55;13;"2014-01-01 06:50:25"
55;9;"2014-01-01 06:50:25"
47;203;"2014-01-01 06:50:28"
22;9;"2014-01-01 06:50:43"
22;56;"2014-01-01 06:50:43"
20;18;"2014-01-01 06:50:46"
20;40;"2014-01-01 06:50:46"
20;21;"2014-01-01 06:50:46"
21;35;"2014-01-01 06:50:46"
21;16;"2014-01-01 06:50:46"
21;14;"2014-01-01 06:50:46"
27;25;"2014-01-01 06:50:48"
20;23;"2014-01-01 06:50:49"
76;45;"2014-01-01 06:50:55"
6;4;"2014-01-01 06:51:01"
6;18;"2014-01-01 06:51:01"
61;4;"2014-01-01 06:51:03"
6;9;"2014-01-01 06:51:05"
6;19;"2014-01-01 06:51:05"
8;21;"2014-01-01 06:51:08"
18;40;"2014-01-01 06:51:11"
40;4;"2014-01-01 06:51:11"
40;16;"2014-01-01 06:51:11"
40;20;"2014-01-01 06:51:11"
40;23;"2014-01-01 06:51:14"
40;35;"2014-01-01 06:51:14"
40;55;"2014-01-01 06:51:14"
40;14;"2014-01-01 06:51:14"
23;19;"2014-01-01 06:51:17"
18;35;"2014-01-01 06:51:18"
18;56;"2014-01-01 06:51:18"
7;22;"2014-01-01 06:51:31"
7;16;"2014-01-01 06:51:31"
7;9;"2014-01-01 06:51:31"
2;19;"2014-01-01 06:51:33"
13;7;"2014-01-01 06:51:35"
13;56;"2014-01-01 06:51:35"
7;35;"2014-01-01 06:51:35"
7;40;"2014-01-01 06:51:39"
7;56;"2014-01-01 06:51:39"
14;7;"2014-01-01 06:51:47"
14;56;"2014-01-01 06:51:47"
14;40;"2014-01-01 06:51:47"
14;19;"2014-01-01 06:51:47"
14;4;"2014-01-01 06:51:50"
4;19;"2014-01-01 06:51:50"
4;22;"2014-01-01 06:51:50"
4;40;"2014-01-01 06:51:53"
4;14;"2014-01-01 06:51:53"
9;13;"2014-01-01 06:51:53"
9;56;"2014-01-01 06:51:53"
9;18;"2014-01-01 06:51:53"
14;2;"2014-01-01 06:51:54"
14;35;"2014-01-01 06:51:54"
14;18;"2014-01-01 06:51:54"
19;6;"2014-01-01 06:52:03"
19;18;"2014-01-01 06:52:03"
19;22;"2014-01-01 06:52:05"
19;14;"2014-01-01 06:52:05"
19;4;"2014-01-01 06:52:05"
19;16;"2014-01-01 06:52:05"
19;2;"2014-01-01 06:52:07"
19;35;"2014-01-01 06:52:07"
19;56;"2014-01-01 06:52:07"
16;9;"2014-01-01 06:52:09"
16;13;"2014-01-01 06:52:09"
26;25;"2014-01-01 06:52:13"
16;7;"2014-01-01 06:52:14"
16;4;"2014-01-01 06:52:14"
55;18;"2014-01-01 06:52:14"
55;56;"2014-01-01 06:52:14"
55;40;"2014-01-01 06:52:14"
16;61;"2014-01-01 06:52:19"
35;40;"2014-01-01 06:52:19"
35;56;"2014-01-01 06:52:19"
35;22;"2014-01-01 06:52:19"
56;7;"2014-01-01 06:52:21"
56;2;"2014-01-01 06:52:21"
56;9;"2014-01-01 06:52:21"
56;40;"2014-01-01 06:52:21"
35;19;"2014-01-01 06:52:23"
35;2;"2014-01-01 06:52:23"
35;6;"2014-01-01 06:52:26"
25;76;"2014-01-01 06:52:28"
22;35;"2014-01-01 06:52:39"
22;14;"2014-01-01 06:52:39"
22;7;"2014-01-01 06:52:39"
5;1;"2014-01-01 06:52:47"
61;23;"2014-01-01 06:52:53"
61;55;"2014-01-01 06:52:53"
76;25;"2014-01-01 06:52:54"
76;24;"2014-01-01 06:52:54"
12;76;"2014-01-01 06:52:57"
12;26;"2014-01-01 06:52:57"
27;76;"2014-01-01 06:52:58"
27;24;"2014-01-01 06:52:58"
12;24;"2014-01-01 06:53:04"
12;25;"2014-01-01 06:53:04"
40;22;"2014-01-01 06:53:09"
6;2;"2014-01-01 06:53:10"
18;22;"2014-01-01 06:53:13"
23;6;"2014-01-01 06:53:14"
23;55;"2014-01-01 06:53:14"
8;13;"2014-01-01 06:53:14"
13;35;"2014-01-01 06:53:24"
13;40;"2014-01-01 06:53:24"
13;9;"2014-01-01 06:53:24"
2;6;"2014-01-01 06:53:28"
2;14;"2014-01-01 06:53:28"
2;61;"2014-01-01 06:53:28"
7;14;"2014-01-01 06:53:29"
7;2;"2014-01-01 06:53:29"
7;61;"2014-01-01 06:53:29"
7;18;"2014-01-01 06:53:34"
7;19;"2014-01-01 06:53:34"
14;9;"2014-01-01 06:53:50"
14;40;"2014-01-01 06:53:50"
14;6;"2014-01-01 06:53:50"
14;13;"2014-01-01 06:53:50"
4;27;"2014-01-01 06:53:55"
9;7;"2014-01-01 06:53:56"
9;40;"2014-01-01 06:53:59"
19;55;"2014-01-01 06:54:03"
19;7;"2014-01-01 06:54:07"
55;7;"2014-01-01 06:54:11"
55;19;"2014-01-01 06:54:11"
55;23;"2014-01-01 06:54:11"
16;35;"2014-01-01 06:54:15"
26;24;"2014-01-01 06:54:18"
56;22;"2014-01-01 06:54:19"
56;6;"2014-01-01 06:54:19"
56;14;"2014-01-01 06:54:19"
25;24;"2014-01-01 06:54:25"
25;26;"2014-01-01 06:54:25"
25;12;"2014-01-01 06:54:25"
35;61;"2014-01-01 06:54:26"
35;7;"2014-01-01 06:54:26"
35;18;"2014-01-01 06:54:26"
35;16;"2014-01-01 06:54:26"
35;56;"2014-01-01 06:54:26"
22;23;"2014-01-01 06:54:36"
22;4;"2014-01-01 06:54:36"
22;6;"2014-01-01 06:54:36"
24;25;"2014-01-01 06:54:47"
24;76;"2014-01-01 06:54:47"
76;26;"2014-01-01 06:54:47"
27;5;"2014-01-01 06:54:48"
27;8;"2014-01-01 06:54:48"
61;9;"2014-01-01 06:54:48"
61;2;"2014-01-01 06:54:48"
20;21;"2014-01-01 06:54:49"
61;19;"2014-01-01 06:54:55"
61;56;"2014-01-01 06:54:55"
61;7;"2014-01-01 06:54:55"
61;22;"2014-01-01 06:54:58"
61;40;"2014-01-01 06:54:58"
61;16;"2014-01-01 06:54:58"
40;2;"2014-01-01 06:55:01"
6;56;"2014-01-01 06:55:02"
48;5;"2014-01-01 06:55:03"
23;7;"2014-01-01 06:55:03"
6;9;"2014-01-01 06:55:06"
8;27;"2014-01-01 06:55:09"
13;16;"2014-01-01 06:55:17"
13;19;"2014-01-01 06:55:17"
2;16;"2014-01-01 06:55:37"
2;9;"2014-01-01 06:55:37"
2;4;"2014-01-01 06:55:37"
10;21;"2014-01-01 06:55:45"
9;4;"2014-01-01 06:55:49"
9;6;"2014-01-01 06:55:52"
9;61;"2014-01-01 06:55:52"
9;55;"2014-01-01 06:55:52"
14;61;"2014-01-01 06:55:53"
14;4;"2014-01-01 06:55:53"
14;16;"2014-01-01 06:55:53"
14;55;"2014-01-01 06:55:57"
4;56;"2014-01-01 06:55:59"
4;23;"2014-01-01 06:55:59"
4;2;"2014-01-01 06:55:59"
19;27;"2014-01-01 06:56:01"
19;2;"2014-01-01 06:56:01"
16;6;"2014-01-01 06:56:13"
16;55;"2014-01-01 06:56:13"
16;23;"2014-01-01 06:56:13"
16;19;"2014-01-01 06:56:13"
16;56;"2014-01-01 06:56:13"
55;4;"2014-01-01 06:56:15"
35;13;"2014-01-01 06:56:20"
35;14;"2014-01-01 06:56:20"
56;16;"2014-01-01 06:56:22"
56;13;"2014-01-01 06:56:22"
22;40;"2014-01-01 06:56:33"
22;13;"2014-01-01 06:56:33"
5;48;"2014-01-01 06:56:36"
24;26;"2014-01-01 06:56:47"
21;10;"2014-01-01 06:56:54"
27;56;"2014-01-01 06:56:55"
27;2;"2014-01-01 06:56:55"
27;14;"2014-01-01 06:56:55"
27;22;"2014-01-01 06:56:55"
27;55;"2014-01-01 06:56:55"
40;18;"2014-01-01 06:56:56"
40;27;"2014-01-01 06:56:56"
23;2;"2014-01-01 06:56:56"
23;35;"2014-01-01 06:56:56"
23;13;"2014-01-01 06:56:56"
61;23;"2014-01-01 06:56:57"
40;6;"2014-01-01 06:56:59"
40;16;"2014-01-01 06:56:59"
40;23;"2014-01-01 06:56:59"
40;9;"2014-01-01 06:56:59"
18;13;"2014-01-01 06:57:00"
18;55;"2014-01-01 06:57:00"
76;24;"2014-01-01 06:57:00"
18;4;"2014-01-01 06:57:03"
18;2;"2014-01-01 06:57:03"
7;27;"2014-01-01 06:57:21"
7;22;"2014-01-01 06:57:21"
7;23;"2014-01-01 06:57:21"
7;55;"2014-01-01 06:57:21"
2;23;"2014-01-01 06:57:29"
2;13;"2014-01-01 06:57:29"
2;55;"2014-01-01 06:57:29"
2;7;"2014-01-01 06:57:29"
2;56;"2014-01-01 06:57:29"
2;35;"2014-01-01 06:57:34"
2;19;"2014-01-01 06:57:34"
14;7;"2014-01-01 06:57:47"
14;22;"2014-01-01 06:57:50"
14;2;"2014-01-01 06:57:50"
9;8;"2014-01-01 06:57:51"
9;23;"2014-01-01 06:57:51"
9;19;"2014-01-01 06:57:51"
19;13;"2014-01-01 06:58:01"
19;18;"2014-01-01 06:58:01"
4;16;"2014-01-01 06:58:04"
4;18;"2014-01-01 06:58:09"
4;19;"2014-01-01 06:58:09"
55;16;"2014-01-01 06:58:10"
55;13;"2014-01-01 06:58:10"
16;61;"2014-01-01 06:58:13"
55;7;"2014-01-01 06:58:13"
56;18;"2014-01-01 06:58:19"
56;7;"2014-01-01 06:58:19"
35;2;"2014-01-01 06:58:20"
56;61;"2014-01-01 06:58:21"
56;22;"2014-01-01 06:58:21"
56;4;"2014-01-01 06:58:21"
26;25;"2014-01-01 06:58:23"
56;9;"2014-01-01 06:58:24"
22;8;"2014-01-01 06:58:37"
22;18;"2014-01-01 06:58:37"
22;9;"2014-01-01 06:58:37"
25;29;"2014-01-01 06:58:38"
40;13;"2014-01-01 06:58:49"
40;4;"2014-01-01 06:58:49"
23;18;"2014-01-01 06:58:52"
23;16;"2014-01-01 06:58:52"
18;23;"2014-01-01 06:58:53"
18;56;"2014-01-01 06:58:53"
61;19;"2014-01-01 06:59:03"
61;22;"2014-01-01 06:59:03"
12;5;"2014-01-01 06:59:08"
13;40;"2014-01-01 06:59:10"
13;4;"2014-01-01 06:59:10"
13;23;"2014-01-01 06:59:10"
7;35;"2014-01-01 06:59:16"
7;4;"2014-01-01 06:59:16"
7;9;"2014-01-01 06:59:22"
7;18;"2014-01-01 06:59:22"
7;2;"2014-01-01 06:59:22"
7;16;"2014-01-01 06:59:22"
9;27;"2014-01-01 06:59:40"
9;2;"2014-01-01 06:59:40"
2;14;"2014-01-01 06:59:40"
2;16;"2014-01-01 06:59:40"
1;8;"2014-01-01 06:59:44"
1;5;"2014-01-01 06:59:44"
14;9;"2014-01-01 06:59:49"
14;13;"2014-01-01 06:59:49"
14;40;"2014-01-01 06:59:49"
19;35;"2014-01-01 06:59:58"
19;9;"2014-01-01 06:59:58"
19;14;"2014-01-01 06:59:58"
4;56;"2014-01-01 07:00:02"
19;40;"2014-01-01 07:00:04"
19;56;"2014-01-01 07:00:04"
19;22;"2014-01-01 07:00:04"
19;4;"2014-01-01 07:00:04"
4;13;"2014-01-01 07:00:06"
4;9;"2014-01-01 07:00:08"
4;40;"2014-01-01 07:00:08"
19;16;"2014-01-01 07:00:09"
16;22;"2014-01-01 07:00:10"
4;35;"2014-01-01 07:00:13"
16;55;"2014-01-01 07:00:14"
16;19;"2014-01-01 07:00:14"
16;23;"2014-01-01 07:00:14"
56;2;"2014-01-01 07:00:14"
56;40;"2014-01-01 07:00:14"
16;4;"2014-01-01 07:00:16"
16;2;"2014-01-01 07:00:16"
16;14;"2014-01-01 07:00:16"
16;56;"2014-01-01 07:00:16"
55;18;"2014-01-01 07:00:16"
55;61;"2014-01-01 07:00:16"
55;14;"2014-01-01 07:00:16"
55;22;"2014-01-01 07:00:16"
35;23;"2014-01-01 07:00:17"
4;56;"2014-01-01 07:00:17"
4;9;"2014-01-01 07:00:17"
4;14;"2014-01-01 07:00:17"
56;35;"2014-01-01 07:00:18"
56;14;"2014-01-01 07:00:18"
56;16;"2014-01-01 07:00:18"
56;55;"2014-01-01 07:00:18"
35;16;"2014-01-01 07:00:20"
35;9;"2014-01-01 07:00:20"
22;2;"2014-01-01 07:00:33"
22;40;"2014-01-01 07:00:37"
22;19;"2014-01-01 07:00:37"
27;8;"2014-01-01 07:00:43"
27;12;"2014-01-01 07:00:43"
27;29;"2014-01-01 07:00:43"
5;1;"2014-01-01 07:00:46"
23;56;"2014-01-01 07:00:49"
23;40;"2014-01-01 07:00:49"
23;9;"2014-01-01 07:00:49"
40;56;"2014-01-01 07:00:52"
61;2;"2014-01-01 07:00:53"
61;56;"2014-01-01 07:00:53"
61;9;"2014-01-01 07:00:53"
61;40;"2014-01-01 07:00:56"
61;13;"2014-01-01 07:00:56"
61;14;"2014-01-01 07:00:56"
61;4;"2014-01-01 07:00:56"
40;61;"2014-01-01 07:00:57"
40;7;"2014-01-01 07:00:57"
40;22;"2014-01-01 07:00:57"
40;13;"2014-01-01 07:00:57"
18;2;"2014-01-01 07:00:59"
13;55;"2014-01-01 07:01:07"
12;27;"2014-01-01 07:01:08"
7;14;"2014-01-01 07:01:12"
7;56;"2014-01-01 07:01:12"
2;4;"2014-01-01 07:01:30"
2;35;"2014-01-01 07:01:32"
9;61;"2014-01-01 07:01:37"
9;4;"2014-01-01 07:01:37"
14;35;"2014-01-01 07:01:38"
14;19;"2014-01-01 07:01:38"
19;13;"2014-01-01 07:02:05"
16;9;"2014-01-01 07:02:12"
16;22;"2014-01-01 07:02:12"
16;35;"2014-01-01 07:02:12"
55;19;"2014-01-01 07:02:16"
55;2;"2014-01-01 07:02:16"
56;13;"2014-01-01 07:02:17"
55;35;"2014-01-01 07:02:19"
55;4;"2014-01-01 07:02:19"
56;23;"2014-01-01 07:02:21"
56;9;"2014-01-01 07:02:21"
4;7;"2014-01-01 07:02:25"
35;7;"2014-01-01 07:02:28"
35;40;"2014-01-01 07:02:28"
35;61;"2014-01-01 07:02:28"
35;19;"2014-01-01 07:02:28"
35;56;"2014-01-01 07:02:28"
8;12;"2014-01-01 07:02:44"
40;19;"2014-01-01 07:02:53"
40;23;"2014-01-01 07:02:57"
40;2;"2014-01-01 07:02:57"
13;16;"2014-01-01 07:03:11"
13;22;"2014-01-01 07:03:11"
13;14;"2014-01-01 07:03:11"
7;22;"2014-01-01 07:03:11"
7;4;"2014-01-01 07:03:11"
7;35;"2014-01-01 07:03:14"
7;9;"2014-01-01 07:03:14"
7;19;"2014-01-01 07:03:14"
2;9;"2014-01-01 07:03:27"
2;23;"2014-01-01 07:03:27"
14;56;"2014-01-01 07:03:35"
9;16;"2014-01-01 07:03:41"
9;40;"2014-01-01 07:03:41"
19;23;"2014-01-01 07:04:08"
19;56;"2014-01-01 07:04:08"
19;40;"2014-01-01 07:04:08"
55;9;"2014-01-01 07:04:09"
55;56;"2014-01-01 07:04:12"
19;35;"2014-01-01 07:04:14"
19;2;"2014-01-01 07:04:14"
19;55;"2014-01-01 07:04:14"
16;7;"2014-01-01 07:04:15"
56;19;"2014-01-01 07:04:16"
16;4;"2014-01-01 07:04:20"
16;55;"2014-01-01 07:04:20"
16;2;"2014-01-01 07:04:20"
35;22;"2014-01-01 07:04:24"
35;14;"2014-01-01 07:04:24"
4;40;"2014-01-01 07:04:24"
4;16;"2014-01-01 07:04:24"
25;26;"2014-01-01 07:04:35"
22;16;"2014-01-01 07:04:38"
22;55;"2014-01-01 07:04:38"
22;14;"2014-01-01 07:04:38"
8;5;"2014-01-01 07:04:41"
76;24;"2014-01-01 07:04:45"
23;14;"2014-01-01 07:04:50"
23;2;"2014-01-01 07:04:50"
23;35;"2014-01-01 07:04:50"
40;35;"2014-01-01 07:04:51"
40;55;"2014-01-01 07:04:51"
31;206;"2014-01-01 07:05:03"
13;2;"2014-01-01 07:05:07"
7;2;"2014-01-01 07:05:15"
7;22;"2014-01-01 07:05:15"
2;19;"2014-01-01 07:05:19"
2;4;"2014-01-01 07:05:19"
2;22;"2014-01-01 07:05:19"
2;14;"2014-01-01 07:05:19"
2;13;"2014-01-01 07:05:19"
2;16;"2014-01-01 07:05:19"
9;35;"2014-01-01 07:05:36"
9;7;"2014-01-01 07:05:38"
9;22;"2014-01-01 07:05:38"
9;13;"2014-01-01 07:05:38"
14;23;"2014-01-01 07:05:39"
14;16;"2014-01-01 07:05:39"
1;28;"2014-01-01 07:05:45"
1;8;"2014-01-01 07:05:52"
19;7;"2014-01-01 07:06:04"
19;16;"2014-01-01 07:06:04"
16;19;"2014-01-01 07:06:10"
55;16;"2014-01-01 07:06:11"
55;40;"2014-01-01 07:06:11"
55;14;"2014-01-01 07:06:11"
55;22;"2014-01-01 07:06:11"
16;14;"2014-01-01 07:06:13"
16;9;"2014-01-01 07:06:13"
16;40;"2014-01-01 07:06:13"
56;4;"2014-01-01 07:06:13"
55;23;"2014-01-01 07:06:16"
4;22;"2014-01-01 07:06:17"
4;56;"2014-01-01 07:06:23"
35;2;"2014-01-01 07:06:27"
35;40;"2014-01-01 07:06:34"
35;7;"2014-01-01 07:06:34"
35;55;"2014-01-01 07:06:34"
22;35;"2014-01-01 07:06:38"
22;23;"2014-01-01 07:06:38"
